num,pattern,id,x,y,radius,red,green,blue
25.0,0.0,0.0,56.0,-88.0,22.7912316423,182.779228624,214.444058566,134.325851972
25.0,0.0,1.0,164.0,-72.0,20.9758101777,100.553635945,202.49119652,214.444058566
25.0,0.0,2.0,-147.0,185.0,17.0429849422,112.455253451,214.444058566,212.639724557
25.0,0.0,3.0,169.0,112.0,27.7820776,214.444058566,150.652795672,106.434203506
25.0,0.0,4.0,-64.0,99.0,29.2104265371,214.444058566,116.770178444,208.464251327
25.0,0.0,5.0,105.0,261.0,12.2250720937,154.006257592,61.4306519955,214.444058566
25.0,0.0,6.0,64.0,272.0,18.8525470029,154.500277571,119.283816846,214.444058566
25.0,0.0,7.0,43.0,-223.0,26.3736213751,116.605903803,214.444058566,212.817273126
25.0,0.0,8.0,-107.0,-131.0,19.9342317206,81.0011993064,214.444058566,204.998044113
25.0,0.0,9.0,-172.0,-2.0,29.244380217,214.444058566,172.855853441,198.153921329
25.0,0.0,10.0,-6.0,-140.0,14.4430883672,214.444058566,181.714685774,71.4143425127
25.0,0.0,11.0,58.0,-148.0,28.6023424151,123.40766386,158.319879437,214.444058566
25.0,0.0,12.0,-108.0,-234.0,17.6119944221,169.12775479,214.444058566,205.29110306
25.0,0.0,13.0,230.0,58.0,28.4571091703,214.444058566,109.727159635,201.843592291
25.0,0.0,14.0,-80.0,-51.0,29.3337623685,159.789165442,196.554970576,214.444058566
25.0,0.0,15.0,137.0,64.0,10.5683854765,111.099297021,73.0054825416,214.444058566
25.0,0.0,16.0,-169.0,-114.0,27.4916088609,183.979075808,214.444058566,69.2898749468
25.0,0.0,17.0,-129.0,45.0,18.1716456229,186.618376143,214.444058566,156.561033985
25.0,0.0,18.0,-198.0,-57.0,20.1964779948,187.684728681,85.3894973305,214.444058566
25.0,0.0,19.0,146.0,-147.0,26.0268857524,122.55658496,176.194335228,214.444058566
25.0,0.0,20.0,-69.0,190.0,25.89823902,162.809471944,214.444058566,182.977314384
25.0,0.0,21.0,101.0,-185.0,14.0652570194,184.479923034,214.444058566,130.857522172
25.0,0.0,22.0,-183.0,135.0,29.0360188286,214.444058566,197.123591472,180.762457312
25.0,0.0,23.0,113.0,150.0,26.0496254847,214.19568824,214.444058566,192.92020159
25.0,0.0,24.0,41.0,66.0,15.3539560896,115.505068362,167.842266097,214.444058566
25.0,1.0,0.0,64.0,-89.0,29.9906168827,187.458152089,205.968917588,212.046076751
25.0,1.0,1.0,76.0,186.0,10.8735521084,88.3532455124,131.146130847,212.046076751
25.0,1.0,2.0,115.0,4.0,29.8810130819,156.616185456,212.046076751,97.3290669245
25.0,1.0,3.0,-118.0,-6.0,24.630913063,87.9140025515,212.046076751,146.367428978
25.0,1.0,4.0,-155.0,-196.0,17.2009672406,159.030208508,82.7315758403,212.046076751
25.0,1.0,5.0,15.0,-197.0,21.0254120019,94.6050295674,183.475949721,212.046076751
25.0,1.0,6.0,-41.0,-120.0,26.9086101241,212.046076751,138.685136606,168.598365495
25.0,1.0,7.0,-99.0,-145.0,10.5840206031,182.914118682,169.671580389,212.046076751
25.0,1.0,8.0,-48.0,142.0,25.3453757718,182.866241334,202.462691877,212.046076751
25.0,1.0,9.0,-3.0,213.0,29.3953002283,110.169474317,212.046076751,181.111352594
25.0,1.0,10.0,91.0,78.0,11.6799281474,99.2829567141,178.741007128,212.046076751
25.0,1.0,11.0,41.0,267.0,22.3072896958,212.046076751,180.74070562,96.8570921707
25.0,1.0,12.0,168.0,-220.0,21.7258086558,92.2110896397,196.83587964,212.046076751
25.0,1.0,13.0,71.0,234.0,20.5977063581,212.046076751,96.3333846316,95.7832397485
25.0,1.0,14.0,-7.0,105.0,26.0993853926,212.046076751,186.748007916,209.868303584
25.0,1.0,15.0,244.0,75.0,29.2316447363,212.046076751,128.454243179,64.9123035909
25.0,1.0,16.0,-113.0,-93.0,20.9105084825,170.560874599,212.046076751,173.976627839
25.0,1.0,17.0,-223.0,-62.0,28.0849141009,193.676462131,212.046076751,142.345535644
25.0,1.0,18.0,197.0,-0.0,29.0513818676,117.884568753,182.215973391,212.046076751
25.0,1.0,19.0,98.0,-201.0,24.9235034069,185.69011608,148.960294416,212.046076751
25.0,1.0,20.0,136.0,132.0,25.7180339845,212.046076751,59.3748603473,154.537881242
25.0,1.0,21.0,-144.0,-150.0,15.6396001828,178.1399278,212.046076751,121.861448735
25.0,1.0,22.0,45.0,65.0,10.8345643371,151.266255047,166.449266897,212.046076751
25.0,1.0,23.0,10.0,-137.0,24.1497892606,212.046076751,120.021281249,107.917427697
25.0,1.0,24.0,184.0,-105.0,19.4831084913,100.381540376,83.3993448069,212.046076751
25.0,2.0,0.0,-158.0,-94.0,20.4998368438,207.299695277,207.887376061,99.044118662
25.0,2.0,1.0,-103.0,-46.0,28.1555173113,207.887376061,61.3303392618,185.608479467
25.0,2.0,2.0,144.0,83.0,18.0843945479,177.448804409,162.084673443,207.887376061
25.0,2.0,3.0,-170.0,87.0,26.6057226315,207.887376061,178.728758185,76.5787497736
25.0,2.0,4.0,-116.0,-121.0,25.2930843929,85.0929589083,207.887376061,115.244817437
25.0,2.0,5.0,101.0,56.0,26.4094860431,207.887376061,190.706584639,111.825034626
25.0,2.0,6.0,-56.0,-89.0,10.4341401531,131.678918438,178.172420652,207.887376061
25.0,2.0,7.0,94.0,-27.0,28.2608858018,63.1565162669,184.486074107,207.887376061
25.0,2.0,8.0,114.0,-211.0,19.6018423626,207.887376061,163.804203751,182.512134138
25.0,2.0,9.0,115.0,-167.0,13.7666467275,161.357895745,207.887376061,134.553028517
25.0,2.0,10.0,37.0,119.0,26.0570115194,188.453115332,207.887376061,178.018307357
25.0,2.0,11.0,-124.0,118.0,24.8806484799,207.887376061,173.712665243,146.193672392
25.0,2.0,12.0,-33.0,226.0,18.7841104042,81.0342050694,136.763171777,207.887376061
25.0,2.0,13.0,-102.0,-242.0,11.8819051275,207.887376061,166.036499089,199.797507646
25.0,2.0,14.0,22.0,-102.0,23.2132576913,179.025735536,170.497510745,207.887376061
25.0,2.0,15.0,-175.0,145.0,28.0182402941,207.887376061,138.764214993,150.373717181
25.0,2.0,16.0,-48.0,98.0,20.9934479749,207.887376061,120.14517846,171.605922075
25.0,2.0,17.0,-66.0,-162.0,20.563024674,141.402903582,207.887376061,195.183917904
25.0,2.0,18.0,261.0,-22.0,23.8255269648,110.330794435,207.887376061,203.38777884
25.0,2.0,19.0,180.0,56.0,21.9484155663,94.5207256892,207.887376061,188.45117135
25.0,2.0,20.0,103.0,142.0,22.2507833833,147.410892591,207.887376061,198.791374879
25.0,2.0,21.0,-96.0,21.0,27.9501073774,125.233327515,207.887376061,113.21893715
25.0,2.0,22.0,-63.0,141.0,17.9616393852,168.43428122,197.182325849,207.887376061
25.0,2.0,23.0,163.0,-34.0,27.301720501,113.891324387,207.887376061,123.887791129
25.0,2.0,24.0,31.0,-230.0,25.2829550613,182.648625225,207.887376061,96.0720060943
25.0,3.0,0.0,109.0,116.0,21.0130537649,136.801304359,202.823743908,183.657484665
25.0,3.0,1.0,79.0,-145.0,29.0655305083,202.823743908,193.736837099,132.284627167
25.0,3.0,2.0,138.0,49.0,28.0788746045,202.823743908,148.566909184,67.4485672079
