num,pattern,id,x,y,radius,red,green,blue
25,0,0,56,-88,22.7912316423,182.779228624,214.444058566,134.325851972
25,0,1,164,-72,20.9758101777,100.553635945,202.49119652,214.444058566
25,0,2,-147,185,17.0429849422,112.455253451,214.444058566,212.639724557
25,0,3,169,112,27.7820776,214.444058566,150.652795672,106.434203506
25,0,4,-64,99,29.2104265371,214.444058566,116.770178444,208.464251327
25,0,5,105,261,12.2250720937,154.006257592,61.4306519955,214.444058566
25,0,6,64,272,18.8525470029,154.500277571,119.283816846,214.444058566
25,0,7,43,-223,26.3736213751,116.605903803,214.444058566,212.817273126
25,0,8,-107,-131,19.9342317206,81.0011993064,214.444058566,204.998044113
25,0,9,-172,-2,29.244380217,214.444058566,172.855853441,198.153921329
25,0,10,-6,-140,14.4430883672,214.444058566,181.714685774,71.4143425127
25,0,11,58,-148,28.6023424151,123.40766386,158.319879437,214.444058566
25,0,12,-108,-234,17.6119944221,169.12775479,214.444058566,205.29110306
25,0,13,230,58,28.4571091703,214.444058566,109.727159635,201.843592291
25,0,14,-80,-51,29.3337623685,159.789165442,196.554970576,214.444058566
25,0,15,137,64,10.5683854765,111.099297021,73.0054825416,214.444058566
25,0,16,-169,-114,27.4916088609,183.979075808,214.444058566,69.2898749468
25,0,17,-129,45,18.1716456229,186.618376143,214.444058566,156.561033985
25,0,18,-198,-57,20.1964779948,187.684728681,85.3894973305,214.444058566
25,0,19,146,-147,26.0268857524,122.55658496,176.194335228,214.444058566
25,0,20,-69,190,25.89823902,162.809471944,214.444058566,182.977314384
25,0,21,101,-185,14.0652570194,184.479923034,214.444058566,130.857522172
25,0,22,-183,135,29.0360188286,214.444058566,197.123591472,180.762457312
25,0,23,113,150,26.0496254847,214.19568824,214.444058566,192.92020159
25,0,24,41,66,15.3539560896,115.505068362,167.842266097,214.444058566
25,1,0,64,-89,29.9906168827,187.458152089,205.968917588,212.046076751
25,1,1,76,186,10.8735521084,88.3532455124,131.146130847,212.046076751
25,1,2,115,4,29.8810130819,156.616185456,212.046076751,97.3290669245
25,1,3,-118,-6,24.630913063,87.9140025515,212.046076751,146.367428978
25,1,4,-155,-196,17.2009672406,159.030208508,82.7315758403,212.046076751
25,1,5,15,-197,21.0254120019,94.6050295674,183.475949721,212.046076751
25,1,6,-41,-120,26.9086101241,212.046076751,138.685136606,168.598365495
25,1,7,-99,-145,10.5840206031,182.914118682,169.671580389,212.046076751
25,1,8,-48,142,25.3453757718,182.866241334,202.462691877,212.046076751
25,1,9,-3,213,29.395300228300002,110.169474317,212.046076751,181.111352594
25,1,10,91,78,11.6799281474,99.2829567141,178.741007128,212.046076751
25,1,11,41,267,22.3072896958,212.046076751,180.74070562,96.8570921707
25,1,12,168,-220,21.7258086558,92.2110896397,196.83587964,212.046076751
25,1,13,71,234,20.5977063581,212.046076751,96.3333846316,95.7832397485
25,1,14,-7,105,26.0993853926,212.046076751,186.748007916,209.868303584
25,1,15,244,75,29.2316447363,212.046076751,128.454243179,64.9123035909
25,1,16,-113,-93,20.9105084825,170.560874599,212.046076751,173.976627839
25,1,17,-223,-62,28.0849141009,193.676462131,212.046076751,142.345535644
25,1,18,197,-0,29.0513818676,117.884568753,182.215973391,212.046076751
25,1,19,98,-201,24.9235034069,185.69011608,148.960294416,212.046076751
25,1,20,136,132,25.7180339845,212.046076751,59.3748603473,154.537881242
25,1,21,-144,-150,15.6396001828,178.1399278,212.046076751,121.861448735
25,1,22,45,65,10.8345643371,151.266255047,166.449266897,212.046076751
25,1,23,10,-137,24.1497892606,212.046076751,120.021281249,107.917427697
25,1,24,184,-105,19.4831084913,100.381540376,83.3993448069,212.046076751
25,2,0,-158,-94,20.4998368438,207.299695277,207.887376061,99.044118662
25,2,1,-103,-46,28.1555173113,207.887376061,61.3303392618,185.608479467
25,2,2,144,83,18.0843945479,177.448804409,162.084673443,207.887376061
25,2,3,-170,87,26.6057226315,207.887376061,178.728758185,76.5787497736
25,2,4,-116,-121,25.2930843929,85.0929589083,207.887376061,115.244817437
25,2,5,101,56,26.4094860431,207.887376061,190.706584639,111.825034626
25,2,6,-56,-89,10.4341401531,131.678918438,178.172420652,207.887376061
25,2,7,94,-27,28.2608858018,63.1565162669,184.486074107,207.887376061
25,2,8,114,-211,19.6018423626,207.887376061,163.804203751,182.512134138
25,2,9,115,-167,13.7666467275,161.357895745,207.887376061,134.553028517
25,2,10,37,119,26.0570115194,188.453115332,207.887376061,178.018307357
25,2,11,-124,118,24.8806484799,207.887376061,173.712665243,146.193672392
25,2,12,-33,226,18.7841104042,81.0342050694,136.763171777,207.887376061
25,2,13,-102,-242,11.8819051275,207.887376061,166.036499089,199.797507646
25,2,14,22,-102,23.2132576913,179.025735536,170.497510745,207.887376061
25,2,15,-175,145,28.0182402941,207.887376061,138.764214993,150.373717181
25,2,16,-48,98,20.9934479749,207.887376061,120.14517846,171.605922075
25,2,17,-66,-162,20.563024674,141.402903582,207.887376061,195.183917904
25,2,18,261,-22,23.8255269648,110.330794435,207.887376061,203.38777884
25,2,19,180,56,21.9484155663,94.5207256892,207.887376061,188.45117135
25,2,20,103,142,22.2507833833,147.410892591,207.887376061,198.791374879
25,2,21,-96,21,27.9501073774,125.233327515,207.887376061,113.21893715
25,2,22,-63,141,17.9616393852,168.43428122,197.182325849,207.887376061
